action, id, label, source, target
insert, 232, 1, 77, 128
insert, 233, 2, 77, 153
NEW ITERATION, 20, , ,
NEW ITERATION, 21, , ,
NEW ITERATION, 22, , ,
remove, 225, , ,
remove, 226, , ,
remove, 227, , ,
remove, 156, , ,
remove, 157, , ,
remove, 158, , ,
remove, 114, , ,
remove, 115, , ,
remove, 116, , ,
remove, 135, , ,
remove, 136, , ,
remove, 137, , ,
remove, 126, , ,
remove, 127, , ,
remove, 128, , ,
remove, 129, , ,
remove, 130, , ,
remove, 131, , ,
insert, 234, 0, 78, 78
insert, 235, 1, 78, 161
insert, 236, 2, 78, 208
insert, 237, 0, 79, 79
insert, 238, 1, 79, 185
insert, 239, 2, 79, 193
insert, 240, 0, 80, 80
insert, 241, 1, 80, 180
insert, 242, 2, 80, 157
insert, 243, 0, 81, 81
insert, 244, 1, 81, 152
insert, 245, 2, 81, 177
NEW ITERATION, 23, , ,
NEW ITERATION, 24, , ,
NEW ITERATION, 25, , ,
remove, 237, , ,
remove, 238, , ,
remove, 239, , ,
remove, 159, , ,
remove, 160, , ,
remove, 161, , ,
remove, 132, , ,
remove, 133, , ,
remove, 134, , ,
remove, 153, , ,
remove, 154, , ,
remove, 155, , ,
remove, 144, , ,
remove, 145, , ,
remove, 146, , ,
remove, 147, , ,
remove, 148, , ,
remove, 149, , ,
insert, 246, 0, 82, 82
insert, 247, 1, 82, 185
insert, 248, 2, 82, 212
insert, 249, 0, 83, 83
insert, 250, 1, 83, 209
insert, 251, 2, 83, 205
insert, 252, 0, 84, 84
insert, 253, 1, 84, 204
insert, 254, 2, 84, 181
insert, 255, 0, 85, 85
insert, 256, 1, 85, 176
insert, 257, 2, 85, 213
NEW ITERATION, 26, , ,
NEW ITERATION, 27, , ,
NEW ITERATION, 28, , ,
remove, 249, , ,
remove, 250, , ,
remove, 251, , ,
remove, 243, , ,
remove, 244, , ,
remove, 245, , ,
remove, 141, , ,
remove, 142, , ,
remove, 143, , ,
remove, 255, , ,
remove, 256, , ,
remove, 257, , ,
remove, 252, , ,
remove, 253, , ,
remove, 254, , ,
insert, 258, 0, 86, 86
insert, 259, 1, 86, 209
insert, 260, 2, 86, 181
insert, 261, 0, 87, 87
insert, 262, 1, 87, 152
insert, 263, 2, 87, 213
insert, 264, 0, 88, 88
insert, 265, 1, 88, 210
insert, 266, 2, 88, 214
NEW ITERATION, 29, , ,
NEW ITERATION, 30, , ,
remove, 258, , ,
remove, 259, , ,
remove, 260, , ,
remove, 231, , ,
remove, 232, , ,
remove, 233, , ,
remove, 264, , ,
remove, 265, , ,
remove, 266, , ,
remove, 123, , ,
remove, 124, , ,
remove, 125, , ,
remove, 261, , ,
remove, 262, , ,
remove, 263, , ,
remove, 240, , ,
remove, 241, , ,
remove, 242, , ,
insert, 267, 0, 89, 89
insert, 268, 1, 89, 209
insert, 269, 2, 89, 157
insert, 270, 0, 90, 90
insert, 271, 1, 90, 128
insert, 272, 2, 90, 213
insert, 273, 0, 91, 91
insert, 274, 1, 91, 210
insert, 275, 2, 91, 214
insert, 276, 0, 92, 92
insert, 277, 1, 92, 186
insert, 278, 2, 92, 190
NEW ITERATION, 31, , ,
NEW ITERATION, 32, , ,
remove, 267, , ,
remove, 268, , ,
remove, 269, , ,
remove, 219, , ,
remove, 220, , ,
remove, 221, , ,
remove, 276, , ,
remove, 277, , ,
remove, 278, , ,
remove, 105, , ,
remove, 106, , ,
remove, 107, , ,
remove, 270, , ,
remove, 271, , ,
remove, 272, , ,
remove, 228, , ,
remove, 229, , ,
remove, 230, , ,
insert, 279, 0, 93, 93
insert, 280, 1, 93, 209
insert, 281, 2, 93, 133
insert, 282, 0, 94, 94
insert, 283, 1, 94, 104
insert, 284, 2, 94, 213
insert, 285, 0, 95, 95
insert, 286, 1, 95, 186
insert, 287, 2, 95, 190
insert, 288, 0, 96, 96
insert, 289, 1, 96, 162
insert, 290, 2, 96, 166
NEW ITERATION, 33, , ,
NEW ITERATION, 34, , ,
remove, 279, , ,
remove, 280, , ,
remove, 281, , ,
remove, 207, , ,
remove, 208, , ,
remove, 209, , ,
remove, 288, , ,
remove, 289, , ,
remove, 290, , ,
remove, 87, , ,
remove, 88, , ,
remove, 89, , ,
remove, 282, , ,
remove, 283, , ,
