action, id, source, target, label
remove, 146, , ,
remove, 186, , ,
remove, 187, , ,
remove, 188, , ,
remove, 138, , ,
remove, 139, , ,
remove, 140, , ,
remove, 168, , ,
remove, 169, , ,
remove, 170, , ,
remove, 117, , ,
remove, 118, , ,
remove, 119, , ,
insert, 213, 46, 71, 0
insert, 214, -1, 71, 1
insert, 215, 48, 71, 2
insert, 216, 64, 72, 0
insert, 218, 56, 72, 2
insert, 220, 69, 73, 1
insert, 221, 70, 73, 2
insert, 222, 62, 74, 0
insert, 224, 56, 74, 2
insert, 226, 70, 75, 1
insert, 227, 54, 75, 2
insert, 229, 42, 76, 1
insert, 230, 41, 76, 2
insert, 231, 39, 77, 0
insert, 235, 35, 78, 1
insert, 236, 41, 78, 2
NEW ITERATION, 19, , ,
remove, 207, , ,
remove, 208, , ,
remove, 209, , ,
remove, 216, , ,
remove, 217, , ,
remove, 218, , ,
remove, 210, , ,
remove, 211, , ,
remove, 212, , ,
remove, 213, , ,
remove, 214, , ,
remove, 215, , ,
remove, 219, , ,
remove, 220, , ,
remove, 221, , ,
remove, 231, , ,
remove, 232, , ,
remove, 233, , ,
insert, 237, 71, 79, 0
insert, 238, -1, 79, 1
insert, 239, 72, 79, 2
insert, 240, 69, 80, 0
insert, 242, 73, 80, 2
insert, 244, 68, 81, 1
insert, 245, 70, 81, 2
insert, 246, 70, 82, 0
insert, 248, 73, 82, 2
insert, 251, 75, 83, 2
insert, 252, 76, 84, 0
insert, 254, 74, 84, 2
insert, 255, 77, 85, 0
insert, 258, 78, 86, 0
insert, 260, 74, 86, 2
NEW ITERATION, 20, , ,
remove, 204, , ,
remove, 205, , ,
remove, 206, , ,
remove, 237, , ,
remove, 238, , ,
remove, 239, , ,
remove, 249, , ,
remove, 250, , ,
remove, 251, , ,
remove, 255, , ,
remove, 256, , ,
remove, 257, , ,
remove, 243, , ,
remove, 244, , ,
remove, 245, , ,
remove, 240, , ,
remove, 241, , ,
remove, 242, , ,
insert, 261, 1, 87, 0
insert, 262, 79, 87, 1
insert, 263, 6, 87, 2
insert, 264, 84, 88, 0
insert, 266, 82, 88, 2
insert, 267, 82, 89, 0
insert, 268, 85, 89, 1
insert, 269, 75, 89, 2
insert, 270, 86, 90, 0
insert, 272, 82, 90, 2
NEW ITERATION, 21, , ,
NEW ITERATION, 22, , ,
NEW ITERATION, 23, , ,
remove, 264, , ,
remove, 265, , ,
remove, 266, , ,
remove, 228, , ,
remove, 229, , ,
remove, 230, , ,
remove, 222, , ,
remove, 223, , ,
remove, 224, , ,
remove, 126, , ,
remove, 127, , ,
remove, 128, , ,
remove, 252, , ,
remove, 253, , ,
remove, 254, , ,
remove, 123, , ,
remove, 124, , ,
remove, 125, , ,
insert, 273, 42, 91, 0
insert, 274, -1, 91, 1
insert, 275, 76, 91, 2
insert, 276, 88, 92, 0
insert, 278, 84, 92, 2
insert, 280, 87, 93, 1
insert, 281, 82, 93, 2
insert, 282, 74, 94, 0
insert, 284, 84, 94, 2
insert, 285, 75, 95, 0
insert, 287, 86, 95, 2
insert, 288, 43, 96, 0
insert, 290, 35, 96, 2
insert, 291, 41, 97, 0
insert, 295, 35, 98, 1
insert, 296, 78, 98, 2
NEW ITERATION, 24, , ,
remove, 261, , ,
remove, 262, , ,
remove, 263, , ,
remove, 276, , ,
remove, 277, , ,
remove, 278, , ,
remove, 246, , ,
remove, 247, , ,
remove, 248, , ,
remove, 273, , ,
remove, 274, , ,
remove, 275, , ,
remove, 279, , ,
remove, 280, , ,
remove, 281, , ,
remove, 291, , ,
remove, 292, , ,
remove, 293, , ,
insert, 297, 91, 99, 0
insert, 298, -1, 99, 1
insert, 299, 92, 99, 2
insert, 300, 87, 100, 0
insert, 302, 93, 100, 2
insert, 303, 1, 101, 0
insert, 305, 6, 101, 2
insert, 306, 82, 102, 0
insert, 308, 93, 102, 2
insert, 309, 89, 103, 0
insert, 311, 90, 103, 2
insert, 312, 96, 104, 0
insert, 314, 94, 104, 2
insert, 315, 97, 105, 0
insert, 318, 98, 106, 0
insert, 320, 94, 106, 2
NEW ITERATION, 25, , ,
NEW ITERATION, 26, , ,
NEW ITERATION, 27, , ,
NEW ITERATION, 28, , ,
NEW ITERATION, 29, , ,
remove, 312, , ,
remove, 313, , ,
remove, 314, , ,
remove, 141, , ,
remove, 142, , ,
remove, 143, , ,
remove, 105, , ,
remove, 106, , ,
remove, 107, , ,
remove, 135, , ,
remove, 136, , ,
remove, 137, , ,
remove, 288, , ,
remove, 289, , ,
remove, 290, , ,
remove, 129, , ,
remove, 130, , ,
remove, 131, , ,
insert, 321, 47, 107, 0
insert, 322, 99, 107, 1
insert, 323, 94, 107, 2
insert, 325, 45, 108, 1
insert, 326, 45, 108, 2
insert, 327, 45, 109, 0
insert, 328, 78, 109, 1
insert, 329, 98, 109, 2
NEW ITERATION, 30, , ,
remove, 297, , ,
remove, 298, , ,
remove, 299, , ,
remove, 324, , ,
remove, 325, , ,
remove, 326, , ,
remove, 282, , ,
remove, 283, , ,
remove, 284, , ,
remove, 330, , ,
remove, 331, , ,
remove, 332, , ,
remove, 321, , ,
remove, 322, , ,
remove, 323, , ,
insert, 333, 110, 111, 0
insert, 334, -1, 111, 1
insert, 335, 108, 111, 2
insert, 336, 99, 112, 0
insert, 338, 107, 112, 2
insert, 340, 100, 113, 1
insert, 341, 102, 113, 2
insert, 342, 94, 114, 0
insert, 344, 107, 114, 2
insert, 345, 95, 115, 0
insert, 347, 106, 115, 2
insert, 348, 109, 116, 0
insert, 350, 107, 116, 2
NEW ITERATION, 31, , ,
remove, 300, , ,
remove, 301, , ,
remove, 302, , ,
remove, 336, , ,
remove, 337, , ,
remove, 338, , ,
remove, 306, , ,
remove, 307, , ,
remove, 308, , ,
remove, 333, , ,
remove, 334, , ,
remove, 335, , ,
remove, 339, , ,
remove, 340, , ,
remove, 341, , ,
remove, 351, , ,
remove, 352, , ,
